Designator,Mid X,Mid Y,Rotation,Layer
R94,86.1125,-140.455,0.0,top
R95,94.8025,-91.555,0.0,top
R96,94.8025,-96.445,0.0,top
R97,94.8025,-101.335,0.0,top
R98,119.7125,-125.415,0.0,top
R99,119.7125,-128.365,0.0,top
SW1,138.43,-66.04,0.0,top
SW2,146.2225,-91.635,0.0,top
SW3,136.1625,-74.455,0.0,top
U2,148.7025,-115.865,0.0,top
U3,148.7025,-120.315,0.0,top
U4,124.7125,-68.005,0.0,top
U5,136.1225,-99.485,0.0,top
Y1,135.5225,-105.135,0.0,top
Y2,147.9625,-65.805,0.0,top
